Year,Quarter,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2011,Q3,276476,76324,413897,192044,2615845,438945,217967,63801,91172,1100254,596827,73410,115864,849099,481891,234141,200350,332566,350719,97570,351045,476059,646122,409625,173599,407083,85758,139474,192772,94461,564344,142063,1346836,794100,86547,759870,276742,315840,989255,65560,284992,67951,433056,1831237,201954,48831,633181,595229,123193,390164,64159
2011,Q4,253683,50016,468603,164977,2338212,410599,193356,55243,74696,1161056,545920,70516,95323,738534,450756,188724,178632,283779,393720,70364,316512,398746,591559,365678,149473,349281,67631,120002,185750,80070,541239,124937,1218494,652407,80901,783650,237853,229172,840560,53255,259566,56380,450949,1617903,188429,46279,532520,422612,109725,329769,49374
2012,Q1,237087,47196,369781,161981,2046773,331122,161828,50222,82382,1151872,537635,65475,73649,635659,380047,182773,170500,242227,346324,54207,276107,340017,467376,296339,166736,329093,54025,110820,172239,64903,444354,118251,1022512,619610,69115,593104,235768,182794,707144,47145,249637,47234,411923,1611269,161870,33525,497684,324274,97887,276135,40168
2012,Q2,292542,92920,399326,200015,2593442,455125,223694,69731,80901,1190795,641073,72306,124461,901589,519215,248520,216709,329245,363118,111138,377923,496665,716257,463306,181943,453334,92582,148365,200692,103211,610478,149735,1349568,797112,101505,851391,302828,268993,982506,74474,317958,77485,479657,1914437,224720,48346,662318,517518,126173,421409,68524
2012,Q3,271429,74444,401134,190792,2642102,443537,210206,58287,94181,1184820,589826,72793,119072,829849,475175,231761,197647,302544,322313,89199,350177,452197,643756,407388,175205,399338,83576,146069,190300,91495,558779,139540,1359005,743762,89760,748395,265284,312855,865687,63912,276776,67114,440159,1850735,202757,45099,592959,592603,115774,374069,59943
2012,Q4,253430,51263,472367,162424,2409368,473012,193161,57834,92368,1275892,586106,77834,105430,762291,422325,193423,184649,296858,331151,71891,318873,393350,676622,367178,158773,364513,70312,125320,198484,79695,514218,143704,1298227,682453,81321,712993,255735,250124,806769,53459,256820,55882,433654,1780171,211316,44311,548287,440055,101291,338877,48040
2013,Q1,239874,47112,382169,159146,2042527,365770,165380,50389,75415,1229186,557989,68454,80665,651228,382232,176283,164830,245139,353905,52506,273780,343846,476476,307695,156862,323367,56183,103437,173477,63353,446238,128829,1073484,640587,64986,590398,229298,200203,767499,46549,243435,45450,373542,1688835,173296,33759,462689,344204,87332,274419,39284
2013,Q2,295940,90707,424187,197576,2714832,468987,252090,72395,91809,1218774,695624,76241,133666,948840,538261,249647,229749,325979,359111,115385,380685,522771,722383,468643,180644,463279,95484,152906,217358,106832,646996,153398,1417873,830852,98481,872376,300263,300274,972110,77216,326891,78404,474871,1983336,239780,49807,569520,540311,122020,433162,69478
2013,Q3,276450,79802,424203,185804,2636125,470472,219977,65962,96342,1175613,645652,78192,125133,917316,507588,236462,214900,303353,343414,98685,357749,482023,658329,412322,179467,418951,85731,154519,211055,95950,588615,136772,1413313,791288,95475,770922,295975,350701,921897,66991,298162,70545,466560,2009506,223680,47851,546423,589530,112397,404202,61193
2013,Q4,261055,47272,489237,172187,2592016,429912,209680,68678,82247,1327641,626840,80634,113082,840788,488511,203598,201293,318529,330391,74982,343591,444350,620487,394487,177606,387140,72334,135880,203203,84902,556389,121903,1353818,758943,87466,764504,257557,263622,868184,57640,291024,60152,469928,1912542,225736,46415,507753,457522,104222,366891,49902
