Year,Quarter,"Alcona, MI","Alger, MI","Allegan, MI","Alpena, MI","Antrim, MI","Arenac, MI","Baraga, MI","Barry, MI","Bay, MI","Benzie, MI","Berrien, MI","Branch, MI","Calhoun, MI","Cass, MI","Charlevoix, MI","Cheboygan, MI","Chippewa, MI","Clare, MI","Clinton, MI","Crawford, MI","Delta, MI","Dickinson, MI","Eaton, MI","Emmet, MI","Genesee, MI","Gladwin, MI","Gogebic, MI","Grand Traverse, MI","Gratiot, MI","Hillsdale, MI","Houghton, MI","Huron, MI","Ingham, MI","Ionia, MI","Iosco, MI","Iron, MI","Isabella, MI","Jackson, MI","Kalamazoo, MI","Kalkaska, MI","Kent, MI","Keweenaw, MI","Lake, MI","Lapeer, MI","Leelanau, MI","Lenawee, MI","Livingston, MI","Luce, MI","Mackinac, MI","Macomb, MI","Manistee, MI","Marquette, MI","Mason, MI","Mecosta, MI","Menominee, MI","Midland, MI","Missaukee, MI","Monroe, MI","Montcalm, MI","Montmorency, MI","Muskegon, MI","Newaygo, MI","Oakland, MI","Oceana, MI","Ogemaw, MI","Ontonagon, MI","Osceola, MI","Oscoda, MI","Otsego, MI","Ottawa, MI","Presque Isle, MI","Roscommon, MI","Saginaw, MI","St. Clair, MI","St. Joseph, MI","Sanilac, MI","Schoolcraft, MI","Shiawassee, MI","Tuscola, MI","Van Buren, MI","Washtenaw, MI","Wayne, MI","Wexford, MI"
2011,Q3,2806,3003,4088,2721,2515,2575,2407,3181,3096,2492,3700,2929,3726,3260,3162,2596,2378,3052,3155,3016,2928,3224,3142,3259,3360,2590,2785,3443,2868,3125,2621,2937,3773,2448,2470,2909,2782,3666,3881,3660,3721,1726,2605,2991,2905,3275,3424,2272,2650,3903,3270,3378,2865,2895,4355,4318,2895,3866,3021,2716,3188,3368,4516,2590,2217,2612,3838,2499,2900,3521,2922,2435,3341,3209,3437,2859,2977,2835,2888,3450,4115,4264,3027
2011,Q4,3013,3198,3791,2885,2687,2511,2687,3522,3334,2394,3781,2882,3756,3445,3550,2811,2455,3414,3230,3062,3002,3518,3317,3333,3618,2846,2424,3709,3158,3404,2711,3213,3961,2422,2672,2986,2770,3860,3895,4052,3898,1796,2467,3031,3291,3360,3581,2125,2895,4322,3429,3500,3057,3282,3314,4756,2976,4308,3165,2605,3356,3016,4991,2764,2383,2613,3636,2599,3072,3876,2893,2383,3421,3441,3789,2948,3162,3062,3091,3460,4398,4728,3114
2012,Q1,2596,3062,3491,2611,2480,2280,2495,3126,3182,2283,3879,2825,3841,3386,3137,2325,2267,3007,3194,2878,2938,2961,3046,3082,3535,2507,2188,3222,2880,3215,2482,3020,3887,2201,2288,2767,2628,3526,4004,3538,3835,1765,2315,2716,2991,3213,3392,2003,2560,4209,3390,3259,2837,3248,2965,5153,2717,4328,3110,2471,3177,3461,4870,2711,2075,2332,3514,2328,2906,3361,2380,2254,3117,3197,3780,2729,3073,2772,2741,3612,4340,4576,2797
2012,Q2,2638,3313,3586,2820,2528,2398,2405,2958,3070,2317,3670,2770,3561,3388,3350,2445,2299,3041,3156,2857,2882,2886,3115,2848,3296,2510,2345,3349,3317,3074,2488,2956,3639,2869,2437,2830,2716,3626,3741,3456,3701,1628,2482,2771,3251,3330,3317,2081,2672,3942,3293,3280,2858,2859,3022,4394,2789,4005,3089,2771,3099,3076,4593,2802,2292,2612,3475,2568,2883,3500,2750,2920,3178,3230,3499,2834,3058,2761,2809,3536,4234,4249,2882
2012,Q3,2494,2956,4021,2618,2531,2479,2465,3163,3068,2476,3554,2844,3473,3234,3006,2560,2341,3109,3256,2588,2959,3084,3117,2894,3301,2553,2574,3333,3080,2967,2603,2895,3773,2851,2361,2755,2786,3690,3793,3619,3674,1765,2312,2841,2904,3262,3395,2205,2530,3852,2866,3170,2801,2888,3454,4210,2849,3813,3116,3026,3062,3220,4504,2609,2246,2580,3425,2470,2819,3463,2878,2826,3308,3259,3562,2756,3183,2797,2787,3344,4158,4288,2830
2012,Q4,3176,3373,3956,2909,2838,2610,2768,3404,3418,2603,3960,3168,4055,3598,3511,2697,3029,3324,3756,2939,2993,3828,3519,3198,3657,2874,2925,3997,3626,3376,2745,3282,4043,3332,2697,2981,2902,3856,3919,4354,4092,2042,2511,3259,3521,3471,3666,2190,2828,4357,3219,3644,3184,3811,3158,4882,3064,4121,3352,2668,3534,3265,5133,2823,2416,2887,3728,2866,3070,3881,2977,2468,3721,3616,3994,3122,3350,2998,3308,3574,4683,4778,3129
2013,Q1,2602,3092,3461,2690,2379,2169,2559,3166,3357,2242,4018,2864,3973,3315,3193,2272,2929,2910,4517,2728,2897,3310,3273,3055,3426,2653,2566,3285,3369,3000,2522,2731,3798,2248,2263,2706,2642,3580,3948,3432,3795,1921,2221,2844,3023,3329,3564,2161,2492,4123,3271,3268,2723,3009,3131,5052,2757,4092,3084,2727,3193,3445,4807,2666,2091,2451,3358,2386,2864,3392,2467,2396,3400,3231,3674,2763,3053,2882,2747,3439,4347,4709,2930
2013,Q2,2587,3249,3656,2908,2529,2405,2448,3120,3132,2355,4369,2831,3758,3414,3388,2502,2565,2963,3471,2752,2938,3117,3212,2928,3386,2602,2567,3399,3239,3129,2528,2840,3635,2636,2380,2860,2680,3623,3693,3511,3699,1712,2336,2910,3242,3355,3475,2146,3156,3965,3166,3189,2811,2861,3141,4498,2901,3851,3067,2890,3133,3076,4639,2979,2355,2488,3436,2660,2961,3570,2859,2470,3240,3297,3630,2885,3127,2877,2924,3389,4288,4368,2872
2013,Q3,2711,3119,3747,2648,2453,2533,2603,3333,3144,2493,3737,2954,3716,3236,3105,2529,3009,2846,3425,2639,3032,3441,3172,2888,3392,2651,2853,3411,3165,3024,2664,2874,3714,2674,2433,2860,2860,3713,3838,3752,3725,1937,2339,2976,3028,3294,3478,2307,2628,3907,2986,3247,2772,3017,2831,4490,2806,3827,3146,2725,3267,3197,4522,2750,2245,2608,3567,2477,2917,3624,2910,2608,3270,3262,3554,2860,3130,2939,2952,3335,4270,4297,2763
2013,Q4,2815,3507,4034,2874,2811,2791,2855,3473,3342,2416,4113,3190,4122,3395,3661,2575,3296,3369,3870,3054,3114,3755,3559,3149,3690,2870,2991,3855,3758,3469,2903,3374,4046,2878,2618,3102,3014,3918,4142,4414,4112,2077,2486,3226,3884,3469,3749,2457,3465,4368,3419,3568,3131,3904,2957,4926,2983,3986,3252,2993,3584,3336,5104,2743,2482,2831,3628,2782,3177,4122,3022,2478,3746,3613,3912,3185,3330,3095,3513,3559,4648,4761,3161
