Year,Quarter,"Alcona, MI","Alger, MI","Allegan, MI","Alpena, MI","Antrim, MI","Arenac, MI","Baraga, MI","Barry, MI","Bay, MI","Benzie, MI","Berrien, MI","Branch, MI","Calhoun, MI","Cass, MI","Charlevoix, MI","Cheboygan, MI","Chippewa, MI","Clare, MI","Clinton, MI","Crawford, MI","Delta, MI","Dickinson, MI","Eaton, MI","Emmet, MI","Genesee, MI","Gladwin, MI","Gogebic, MI","Grand Traverse, MI","Gratiot, MI","Hillsdale, MI","Houghton, MI","Huron, MI","Ingham, MI","Ionia, MI","Iosco, MI","Iron, MI","Isabella, MI","Jackson, MI","Kalamazoo, MI","Kalkaska, MI","Kent, MI","Keweenaw, MI","Lake, MI","Lapeer, MI","Leelanau, MI","Lenawee, MI","Livingston, MI","Luce, MI","Mackinac, MI","Macomb, MI","Manistee, MI","Marquette, MI","Mason, MI","Mecosta, MI","Menominee, MI","Midland, MI","Missaukee, MI","Monroe, MI","Montcalm, MI","Montmorency, MI","Muskegon, MI","Newaygo, MI","Oakland, MI","Oceana, MI","Ogemaw, MI","Ontonagon, MI","Osceola, MI","Oscoda, MI","Otsego, MI","Ottawa, MI","Presque Isle, MI","Roscommon, MI","Saginaw, MI","St. Clair, MI","St. Joseph, MI","Sanilac, MI","Schoolcraft, MI","Shiawassee, MI","Tuscola, MI","Van Buren, MI","Washtenaw, MI","Wayne, MI","Wexford, MI"
2011,Q3,1358,1904,30890,8976,4734,4322,1842,9595,30413,3936,54113,9672,41928,7211,8722,6270,6642,5045,14367,3070,11591,10863,31783,16213,110445,3417,3738,40904,12044,9451,8161,10148,105454,14685,5475,2868,18865,48683,98681,2918,304787,373,1285,15368,6246,21990,45305,912,4938,260439,4758,22468,8745,8085,5636,33186,2719,35524,11415,1847,47233,7814,619035,5942,4501,1168,3983,1204,8069,95155,2486,3969,72200,34980,16660,9040,1853,12974,8360,16143,116379,583055,10253
2011,Q4,1228,1747,30345,8944,4231,3686,1907,9425,30049,3304,52240,9685,41617,7173,7673,5611,6519,4799,14044,2839,11737,10843,31075,15536,110968,3132,7127,39534,12078,9236,8610,10255,105124,19403,5261,2822,19156,48627,99659,2863,310773,332,1140,15512,4962,22320,45588,876,3901,267152,4408,22163,8205,8215,5500,32802,2685,36645,11994,1802,47209,7891,630795,5412,4409,1163,4062,1197,7736,93645,2395,4147,71889,35230,16732,8846,1765,13049,8192,15508,116541,601060,10257
2012,Q1,1100,1500,28416,8546,3748,3479,1817,9190,28731,2996,47875,9374,41709,6588,7485,4221,5916,4592,13198,2447,11069,10522,30904,14024,107660,2949,6012,36319,11681,8890,8033,9738,102590,17395,4746,2807,18688,47320,96260,2702,309663,172,975,14458,3994,21060,43932,831,1846,259708,3956,21491,7400,7516,5429,29514,2455,35524,11527,1610,45958,7969,624277,3945,4215,1046,3819,1098,7226,89562,2137,3669,63367,33275,15725,8535,1652,12551,7793,13509,117670,591928,9600
2012,Q2,1154,1464,29319,8699,3795,3736,1909,9505,29482,2764,49401,9756,42842,7020,7390,4408,6156,4682,13828,2605,11272,10047,31412,14089,110350,3151,5600,37257,10827,9199,8104,10184,104211,17761,5062,2811,19790,48489,99934,2898,318530,174,979,14969,4214,21706,45411,835,1992,267180,4184,19784,7836,7738,5487,31105,2688,37567,11859,1665,46910,8270,640169,4234,4348,1042,3918,1139,7530,94115,2214,3908,63723,34678,16391,8908,1648,13217,8011,14805,120297,601091,9759
2012,Q3,1342,1925,31891,8831,4786,4267,1981,9738,30117,3850,52885,10698,42360,7546,8941,6114,6820,5202,14468,2849,12265,10465,32176,15503,110821,3478,3526,40992,10345,8830,8672,9798,103711,11446,5746,2783,19695,49701,100122,3164,317871,366,1083,16361,5724,22698,46231,956,5525,268226,4505,20526,9013,7679,5625,33893,2877,37632,12069,1879,49418,8849,653087,5731,4694,1143,4056,1214,8107,96790,2490,4363,71678,36378,17261,9202,1840,13110,8099,16564,123527,602449,9992
2012,Q4,1257,1735,30922,9024,4166,3830,1969,9614,30223,3178,51203,10617,44505,7228,7878,5592,7108,4940,16021,2195,12014,10892,32650,14172,111961,3275,3608,38961,10547,8724,8776,10034,104216,12116,5515,2687,20166,46378,100436,3000,320766,326,1068,16290,5054,23157,47149,886,4182,269743,4246,20946,8255,7697,5376,33667,2910,37825,12300,1842,52668,8862,658950,4961,4573,1156,4045,1174,7917,97133,2432,4155,71531,36378,17579,8820,1771,13036,7998,15362,123902,612795,10009
2013,Q1,1108,1501,29481,8802,3632,3536,1876,9437,28955,2949,47670,9755,43625,6517,7687,4162,6886,4852,15733,2166,11041,10588,32890,14954,109955,3233,3614,37280,10059,9162,8148,9860,102072,18472,5014,2720,19179,44832,95606,2737,317467,161,998,14707,4143,21894,45820,837,1879,263646,3840,22138,7634,7314,5301,32741,2585,35467,12036,1778,46754,8170,646351,3833,4182,997,3882,1088,7881,93692,2087,3858,70099,34714,16464,8485,1659,12553,7713,13869,122559,607387,10073
2013,Q2,1136,1473,30017,8981,3521,3790,1910,9560,29250,2786,48933,10136,44215,6659,7509,4294,6606,4886,16022,2224,11166,10583,33322,15132,113689,3161,3496,37858,10199,9359,8079,9981,104036,18113,5287,2620,19117,48289,98497,2828,325312,152,973,15611,4209,22183,47117,829,2001,271383,3896,22127,7687,7645,5451,33472,2673,37314,12274,1756,47771,8293,656228,4014,4296,951,4033,1137,7778,97212,2184,3864,71544,34871,17733,8639,1676,13108,7641,14280,124125,609326,10037
2013,Q3,1390,1953,32805,9318,4813,4307,1977,9920,30380,4082,53685,10417,44418,7445,9384,6434,7375,4962,16950,2540,12169,11635,33523,16383,114145,3446,3506,42193,10317,9610,8656,10260,102423,14078,5784,2792,19857,48895,101797,3207,331080,361,1086,16183,6152,22571,49716,1006,5358,275545,4727,22784,9039,7928,5468,33907,2997,37980,12589,1919,55138,8947,668246,6018,4629,1046,4323,1476,8770,100349,2471,4277,72545,36495,18397,9005,1894,13193,8023,16188,125728,603212,9873
2013,Q4,1321,1725,32018,9298,4197,3506,1949,9808,29736,3335,49590,10403,44984,7451,7921,5800,7866,4946,17042,2675,11612,11545,33329,14709,115679,3295,3510,40250,10484,9431,8753,10159,103375,16264,5514,2856,20826,49765,102404,3080,341347,312,1035,16164,5314,23323,50288,902,4207,279982,4524,22726,8548,7914,5316,33641,2963,38745,12725,1900,54531,9270,677443,5560,4449,1026,4124,1401,8401,99243,2373,4026,73999,36049,19117,9249,1751,13338,8076,15928,124419,624730,10284
